language,adapted-concept-num,concept-number,composite-score,leipzig-jakarta-concept,concept-original-reference,IPA,page_num
jiv,24,24,0.76,far,lejos,jeáchat/yajá/timiai/aránt/tii yaunchunia,p409
acu,24,24,0.76,far,lejos,arák,
acu,24,24,0.76,far,lejos,téjchau,
agr,25,25,0.759,to do/make,"do, make",naut,
agr,25,25,0.759,to do/make,"do, make",takat,
hub,25,25,0.759,to do/make,hacer,najanatsa/najanamu/najanat,p172
jiv,25,25,0.759,to do/make,hacer,naján-a-tin,p342
acu,25,25,0.759,to do/make,hacer,náatin,
acu,25,25,0.759,to do/make,hacer,najánatin,
agr,26,26,0.758,house,house,hɨga,
hub,26,26,0.758,house,casa,jea/jean,p142
jiv,26,26,0.758,house,casa,jea,p126
acu,26,26,0.758,house,casa,jéa,
agr,27,27,0.756,stone/rock,"stone, rock",kaya,
hub,27,27,0.756,stone/rock,piedra,kaya/kayan,p197
jiv,27,27,0.756,stone/rock,piedra,kaya,p525
acu,27,27,0.756,stone/rock,piedra,káya,
agr,28,28,0.755,bitter,bitter,yapau,
hub,28,28,0.755,bitter,amargo,yapau,p133
jiv,28,28,0.755,bitter,amargo,yapá,p52
acu,28,28,0.755,bitter,amargo,yapáu,
agr,29,28,0.755,to say,say,ɨ'čɨhut,
hub,29,28,0.755,to say,decir,titasa/tamu/tuta,p156
jiv,29,28,0.755,to say,decir,títin,p193
acu,29,28,0.755,to say,decir,títin,
agr,30,28,0.755,tooth,tooth,dai,
hub,30,28,0.755,tooth,diente,nai/nain,p159
jiv,30,28,0.755,tooth,diente,nai,p226
acu,30,28,0.755,tooth,diente,nái,
agr,31,31,0.754,hair,hair,intaš,
hub,31,31,0.754,hair,pelo de hombre,wiich/wiichin,p195
hub,31,31,0.754,hair,pelo de mujer,intash/intashin,p195
jiv,31,31,0.754,hair,pelo,intiash,p518
jiv,31,31,0.754,hair,pelo,ure,p518
acu,31,31,0.754,hair,pelo,intásh,
agr,32,32,0.753,big,"large, big",muun,
hub,32,32,0.753,big,grande,uun,p170
hub,32,32,0.753,big,grande,apu,p170
jiv,32,32,0.753,big,grande,uúnt,p333
jiv,32,32,0.753,big,grande,timian,p333
acu,32,32,0.753,big,grande,juun,
acu,32,32,0.753,big,grande,juunt,
agr,33,32,0.753,one,one,makičik,
hub,33,32,0.753,one,uno,chikichik,p218
jiv,33,32,0.753,one,uno,chikichik,p645
jiv,33,32,0.753,one,uno,nakakchamu,p645
acu,33,32,0.753,one,"un, una, uno",chikíchik,
acu,33,32,0.753,one,"un, una, uno",kíchik,
agr,34,34,0.749,who?,who?,ya,
hub,34,34,0.749,who?,quién,yaki,p202
hub,34,34,0.749,who?,quién,ya,p202
jiv,34,34,0.749,who?,quién,yaa,p553
acu,34,34,0.749,who?,quién,ya,
acu,34,34,0.749,who?,quién,yáki,
agr,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),he/she/it,atum,
hub,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),él/ella,nii/niina,p161
jiv,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),ella,nií,p248
acu,35,34,0.749,3rd-person singular pronoun (he/she/it/him/her),"él,ella",áu,
agr,36,36,0.748,to hit/beat,"strike (hit, beat)",awatut,
hub,36,36,0.748,to hit/beat,golpear,awatasa/awatiamu/awatiat,p170
hub,36,36,0.748,to hit/beat,golpear,ajiatsa/ajiamu/ajiat,p170
jiv,36,36,0.748,to hit/beat,golpear,ajiarttin' tukumratin,p331
jiv,36,36,0.748,to hit/beat,golpear,jatektin,p331
acu,36,36,0.748,to hit/beat,"whip, hit, beat",awátratin,
agr,37,37,0.747,leg/foot,"leg, calf of leg",kuhap,
agr,37,37,0.747,leg/foot,foot,dawɨ,
hub,37,37,0.747,leg/foot,pie,nawe/nawen,p197
hub,37,37,0.747,leg/foot,pierna,maku/makun,p197
jiv,37,37,0.747,leg/foot,pierna,maku,p525
jiv,37,37,0.747,leg/foot,mano,ewej/uwej,p434
acu,37,37,0.747,leg/foot,pie,náwe,
acu,37,37,0.747,leg/foot,pierna,máku,
agr,38,38,0.745,horn,horn,kaču,
hub,38,38,0.745,horn,cuerno,antiri/antirin,p153
hub,38,38,0.745,horn,cuerno,kachu/kachun,p153
jiv,38,38,0.745,horn,cuerno,káchu,p176
acu,38,38,0.745,horn,cuerno,antíri,
agr,39,38,0.745,this,NA,NA,
hub,39,38,0.745,this,este,ju/juna,p166
hub,39,38,0.745,this,este,juka,p166
jiv,39,38,0.745,this,este,jú,p279
acu,39,38,0.745,this,este,ju,
agr,40,38,0.745,fish,fish,namak,
hub,40,38,0.745,fish,pescado,namak/namakan,p196
jiv,40,38,0.745,fish,pescado,namak,p524
acu,40,38,0.745,fish,pescado,namák,
agr,41,41,0.744,yesterday,yesterday,ya'u,
hub,41,41,0.744,yesterday,ayer,yau,p138
jiv,41,41,0.744,yesterday,ayer,yaú,p88
acu,41,41,0.744,yesterday,ayer,yáau,
agr,42,42,0.741,to drink,drink,umu-t,
hub,42,42,0.741,to drink,beber,umartsa/umau/umut,p140
jiv,42,42,0.741,to drink,beber,umartin,p98
acu,42,42,0.741,to drink,beber,múrtin/amúrtin/umúrtin,
agr,43,42,0.741,black,black,bu'kusɨa,
agr,43,42,0.741,black,black,šu'win,
hub,43,42,0.741,black,negro,mukusa,p189
hub,43,42,0.741,black,negro,tunturu,p189
hub,43,42,0.741,black,negro,jakiku,p189
jiv,43,42,0.741,black,negro,mukusa,p476
acu,43,42,0.741,black,negro,"shuwín, nashúm, jimpiách,
kimpí, jákach, jákich, tuntúru, tuntú",
agr,44,42,0.741,navel,navel,'untuč,
hub,44,42,0.741,navel,NA,NA,NA
jiv,44,42,0.741,navel,ombligo,untuch,p494
acu,44,42,0.741,navel,ombligo,úntuch,
agr,45,45,0.738,to stand,stand,wah-amu,
hub,45,45,0.738,to stand,aguantar,katsuntratsa/katsunteamu/katsuntat,p131
jiv,45,45,0.738,to stand,aguartat,katsuntratin,p39
